Date : 2022-01-24 07:46:01
Directory : c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src
Total : 135 files,  6006 codes, 92 comments, 881 blanks, all 6979 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loginPage\LoginForm.tsx                                             | TypeScript React |         40 |          0 |          5 |         45 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loginPage\LoginPage.tsx                                             | TypeScript React |         61 |          0 |         11 |         72 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loginPage\loginStyles.css                                           | CSS              |         21 |          0 |          4 |         25 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\main\Main.tsx                                                       | TypeScript React |        140 |          0 |          7 |        147 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\main\MessageToast.tsx                                               | TypeScript React |         29 |          0 |          3 |         32 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\main\mainStyles.css                                                 | CSS              |         13 |          0 |          2 |         15 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\privateRoute\PrivateRoute.tsx                                       | TypeScript React |         11 |          0 |          6 |         17 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\ProfilePage.tsx                                         | TypeScript React |        140 |          1 |          8 |        149 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\ProfilePicture.tsx                                      | TypeScript React |         23 |          0 |          3 |         26 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\Statistics.tsx                                          | TypeScript React |        126 |          0 |         12 |        138 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\CommentBox.tsx                                 | TypeScript React |         29 |          0 |          5 |         34 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\Comments.tsx                                   | TypeScript React |         72 |          0 |          4 |         76 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\commentStyles.css                              | CSS              |         30 |          0 |          9 |         39 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\comments\hooks\useFetchComments.tsx                     | TypeScript React |         48 |          0 |         10 |         58 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\SettingsNav.tsx                         | TypeScript React |         14 |          0 |          4 |         18 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profileInfo\ProfileInfoPage.tsx         | TypeScript React |         72 |          0 |         12 |         84 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profileInfo\profileInfoStyles.css       | CSS              |         18 |          0 |          1 |         19 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profilePicture\ErrorAlert.tsx           | TypeScript React |         19 |          0 |          6 |         25 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profilePicture\ProfilePicturePage.tsx   | TypeScript React |        100 |          0 |         12 |        112 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileSettings\profilePicture\profilePictureStyles.css | CSS              |         38 |          0 |          6 |         44 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\profilePage\profileStyles.css                                       | CSS              |         44 |          0 |         11 |         55 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\purchasedBooksPage\PurchasedBooksPage.tsx                           | TypeScript React |         60 |          3 |          6 |         69 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\purchasedBooksPage\purchasedBooksStyles.css                         | CSS              |         52 |          0 |          9 |         61 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\ItemCard.tsx                                             | TypeScript React |         53 |          0 |          6 |         59 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\Paginator.tsx                                            | TypeScript React |         37 |          0 |          5 |         42 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\SearchBar.tsx                                            | TypeScript React |         39 |          0 |          5 |         44 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\SearchPage.tsx                                           | TypeScript React |         44 |          7 |          7 |         58 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\hooks\useSearch.tsx                                      | TypeScript React |         70 |          1 |         12 |         83 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\searchPage\searchStyles.css                                         | CSS              |         64 |          4 |          7 |         75 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\updateBook\UpdateBook.tsx                                           | TypeScript React |        131 |          0 |          9 |        140 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\cookies\cookies.ts                                                             | TypeScript       |         32 |          0 |          2 |         34 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\book.ts                                                               | TypeScript       |         11 |          0 |          1 |         12 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\bookEntry.ts                                                          | TypeScript       |         35 |          0 |          3 |         38 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\chatMessage.ts                                                        | TypeScript       |         21 |          0 |          2 |         23 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\comment.ts                                                            | TypeScript       |          8 |          0 |          0 |          8 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\friend.ts                                                             | TypeScript       |         26 |          0 |          3 |         29 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\notification.ts                                                       | TypeScript       |          7 |          0 |          0 |          7 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\product.ts                                                            | TypeScript       |         19 |          0 |          2 |         21 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\user.ts                                                               | TypeScript       |         37 |          0 |          3 |         40 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\entities\userProfile.ts                                                        | TypeScript       |         38 |          0 |          3 |         41 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\index.css                                                                      | CSS              |         15 |          0 |          3 |         18 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\index.tsx                                                                      | TypeScript React |         12 |          3 |          3 |         18 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\mappers\bookMapper.ts                                                          | TypeScript       |         35 |          0 |         11 |         46 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\mappers\logginResponseMapper.ts                                                | TypeScript       |         27 |          0 |          4 |         31 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\mappers\profileResponseMapper.ts                                               | TypeScript       |         26 |          0 |          5 |         31 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\react-app-env.d.ts                                                             | TypeScript       |          0 |          1 |          1 |          2 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\reportWebVitals.ts                                                             | TypeScript       |         13 |          0 |          3 |         16 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\rootReducer.ts                                                                 | TypeScript       |         34 |          0 |          7 |         41 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\authService.ts                                                        | TypeScript       |         44 |          3 |         12 |         59 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\bookshelfService.ts                                                   | TypeScript       |         51 |          0 |         16 |         67 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\chatService.ts                                                        | TypeScript       |         33 |          0 |          8 |         41 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\commentService.ts                                                     | TypeScript       |         13 |          0 |          3 |         16 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\friendsService.ts                                                     | TypeScript       |         29 |          0 |          9 |         38 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\googleBooksService.ts                                                 | TypeScript       |         19 |          1 |          4 |         24 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\notificationService.ts                                                | TypeScript       |         13 |          0 |          4 |         17 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\productsService.ts                                                    | TypeScript       |         36 |          0 |          8 |         44 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\services\userProfileService.ts                                                 | TypeScript       |         23 |          0 |          6 |         29 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\setupTests.ts                                                                  | TypeScript       |          1 |          4 |          1 |          6 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\bookListSlice.ts                                                        | TypeScript       |        143 |          0 |         20 |        163 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\bookshelfUpdatesSlice.ts                                                | TypeScript       |         82 |          0 |          8 |         90 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\emailConfimationSlice.ts                                                | TypeScript       |         55 |          0 |          9 |         64 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\friendsSlice.ts                                                         | TypeScript       |        150 |          0 |         19 |        169 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\googleBooksSlice.ts                                                     | TypeScript       |         84 |          0 |          9 |         93 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\loginSlice.ts                                                           | TypeScript       |         95 |          0 |         15 |        110 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\messageSlice.ts                                                         | TypeScript       |         30 |          0 |          7 |         37 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\purchasedBooksSlice.ts                                                  | TypeScript       |         44 |          0 |          5 |         49 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\slices\signupSlice.ts                                                          | TypeScript       |         55 |          0 |         10 |         65 |
